"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"580","204698_at",4.87611870605601,8.50506892743164,23.9481931924768,6.70275086599683e-14,3.66057333044685e-09,20.3947652597452,"ISG20","interferon stimulated exonuclease gene 20"
"2456","33304_at",4.75162419668437,8.85720478386051,20.276619809829,8.72715546952693e-13,2.38308070828637e-08,18.502398072236,"ISG20","interferon stimulated exonuclease gene 20"
"761","207375_s_at",3.16494726048385,9.01254580213174,18.0075577147155,5.34545142904873e-12,9.73103796315462e-08,17.0610009008555,"IL15RA","interleukin 15 receptor subunit alpha"
"26","1553559_at",3.02001556075244,6.97293953619317,16.9537094777387,1.33326280820539e-11,1.16112170964454e-07,16.3046179053135,"TMEM171","transmembrane protein 171"
"322","201995_at",2.75327487755396,9.25242200208609,16.8307321821409,1.48826322807971e-11,1.16112170964454e-07,16.2123549067122,"EXT1","exostosin glycosyltransferase 1"
"1411","218943_s_at",2.30458041908693,10.3914098056976,17.3435503301277,9.45239685731564e-12,1.16112170964454e-07,16.5914535492719,"RIGI","RNA sensor RIG-I"
"1617","222793_at",2.33227353062738,9.41239556049103,16.9006890392194,1.3978814479846e-11,1.16112170964454e-07,16.2649457777794,"RIGI","RNA sensor RIG-I"
"1215","214022_s_at",3.1833355249792,6.38663840288741,16.533141216439,1.94793590909894e-11,1.18202915337356e-07,15.9854641630686,"IFITM1","interferon induced transmembrane protein 1"
"2391","242625_at",3.89025382948736,9.71147600153185,16.5639942004317,1.89394827582839e-11,1.18202915337356e-07,16.0092286345554,"RSAD2","radical S-adenosyl methionine domain containing 2"
"635","205226_at",3.4320847301537,6.77276739352586,16.2832437949211,2.45020187191408e-11,1.22994656013489e-07,15.7908859535527,"PDGFRL","platelet derived growth factor receptor like"
"1827","226103_at",2.8994165372719,9.2844139578188,16.2713368403898,2.4773244761291e-11,1.22994656013489e-07,15.7815208291705,"NEXN","nexilin F-actin binding protein"
"615","205013_s_at",3.88667535727336,7.9695210912676,15.7055388225527,4.21543707715451e-11,1.74291378314105e-07,15.3263779169065,"ADORA2A","adenosine A2a receptor"
"616","205013_s_at",3.88667535727336,7.9695210912676,15.7055388225527,4.21543707715451e-11,1.74291378314105e-07,15.3263779169065,"SPECC1L","sperm antigen with calponin homology and coiled-coil domains 1 like"
"617","205013_s_at",3.88667535727336,7.9695210912676,15.7055388225527,4.21543707715451e-11,1.74291378314105e-07,15.3263779169065,"SPECC1L-ADORA2A","SPECC1L-ADORA2A readthrough (NMD candidate)"
"740","206932_at",3.79137325819237,7.87125942784125,15.7239464332551,4.14206008136656e-11,1.74291378314105e-07,15.3415035518914,"CH25H","cholesterol 25-hydroxylase"
"933","210029_at",4.77879870740747,8.34942902813712,15.6446915756694,4.46794590371792e-11,1.74291378314105e-07,15.2762239769416,"IDO1","indoleamine 2,3-dioxygenase 1"
"358","202357_s_at",2.49443596940979,8.96001771735417,14.8447162813959,9.78579646920725e-11,3.5628780171521e-07,14.5939725595321,"CFB","complement factor B"
"634","205207_at",5.23858382233514,10.3919660444763,14.6398842066346,1.20326105024291e-10,3.56717223891175e-07,14.4121988567479,"IL6","interleukin 6"
"1014","211122_s_at",5.16450746715123,8.41207583771023,14.6094695310948,1.241028189979e-10,3.56717223891175e-07,14.3849529596193,"CXCL11","C-X-C motif chemokine ligand 11"
"1434","219211_at",3.0578383202355,9.38155799478136,14.6836596813431,1.15102450219721e-10,3.56717223891175e-07,14.4512971315943,"USP18","ubiquitin specific peptidase 18"
"1760","225291_at",2.39660783524675,9.38157168797361,14.7057283119697,1.12560557005992e-10,3.56717223891175e-07,14.470955919728,"PNPT1","polyribonucleotide nucleotidyltransferase 1"
"389","202688_at",2.60699109954663,9.32767715038409,14.2808237499358,1.73931738242661e-10,4.74946701032321e-07,14.0862584242416,"TNFSF10","TNF superfamily member 10"
"609","204994_at",1.84212412221516,9.12809862255767,14.1314121960785,2.03232415421991e-10,5.28530090640056e-07,13.947821481459,"MX2","MX dynamin like GTPase 2"
"1444","219352_at",2.06241604683638,9.36857503748332,14.0071393034729,2.31580339947429e-10,5.74877141161315e-07,13.8313921970575,"HERC6","HECT and RLD domain containing E3 ubiquitin protein ligase family member 6"
"101","1556378_a_at",3.85600260163904,7.35613065228625,13.8171086953599,2.83307552010678e-10,6.18891013518367e-07,13.6510631973581,"LINC03025","long intergenic non-protein coding RNA 3025"
"102","1556378_a_at",3.85600260163904,7.35613065228625,13.8171086953599,2.83307552010678e-10,6.18891013518367e-07,13.6510631973581,"LINC01961","long intergenic non-protein coding RNA 1961"
"103","1556378_a_at",3.85600260163904,7.35613065228625,13.8171086953599,2.83307552010678e-10,6.18891013518367e-07,13.6510631973581,"LOC101929800","uncharacterized LOC101929800"
"388","202687_s_at",2.24903290604659,10.6042820497656,13.8472009372154,2.74362462665069e-10,6.18891013518367e-07,13.6798057002764,"TNFSF10","TNF superfamily member 10"
